layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011550,TW12S760,Twin Creek 9726,123500,900499.06,TBD,Erosion Control,Under Construction,-96.6891780396662,32.8238388216396
Active Bond Program,1011551,TW12S761,Twin Falls Park Trail,257100,853948.71,TBD,Erosion Control,Under Construction,-96.8391605849693,32.6722077499811
Active Bond Program,1011552,TW12S762,Whitehurst 9727 (Jackson Branch - E. Bank upstream of Whitehurst Br),345900,46215.25,TBD,Erosion Control,Awarded for Construction,-96.7279202185161,32.9015003020473
Active Bond Program,1011553,TW12S763,Whitehurst 9730 (Audelia Branch - W. Bank downstream of Whitehurst),444800,377385.41,TBD,Erosion Control,Under Construction,-96.7274299295308,32.9007675707733
Active Bond Program,1011554,TW12S764,Wild Oak 2488,148300,172653.24,TBD,Erosion Control,Under Construction,-96.7098653153642,32.799318084974
Active Bond Program,1011558,TW12S768,Levee Drainage System - Sump A (Able Pump Station),91700000,71416276.4,TBD,Flood Management,Under Construction,-96.8091660316484,32.7687527324043
Active Bond Program,1011646,EB17VG37,NE Patrol Station,1075000,396446.52,10,Police Facilities,Under Design,-96.7158361081273,32.8635054196547
Active Bond Program,1011660,EB17VH11,Southwest Transfer Station (24410),205000,3610.03,03,City Facilities,Under Construction,-96.8813421132485,32.6879465199656
Active Bond Program,1011794,PB17V131,Critical Bridges,6300000,0,TBD,Bridge Repair and Modification,Under Construction,-96.8572810002215,33.0060969995836
Active Bond Program,1011795,PB17V133,LBJ/Skillman Intersection Improvements,6500000,0,10,Intergovernmental Partnership Projects,Under Construction,-96.71770437462,32.9004430876092
Active Bond Program,1011796,PB17V132,Garland/Gaston/East Grand Intersection Safety Improvements,1100000,0,"02,09,14",Intergovernmental Partnership Projects,Under Design,-96.7294755369373,32.8111169717181
Active Bond Program,1011806,PB17V143,Prairie Creek Bridge over UPRR Tracks,9200000,1865195.37,07,Intergovernmental Partnership Projects,Under Design,-96.6652774884327,32.7765027420688
Active Bond Program,1011837,PB17V174,Elmwood Area Street Lighting,500000,0,01,Street Lighting,Under Construction,-96.8478720041404,32.7242639090638
Active Bond Program,1012649,PB17V986,Ferguson Rd and Lakeland Dr Intersection Improvements,750000,700602.2,07,Streetscape / Urban Design,Under Construction,-96.7013307734345,32.8119136905519
Active Bond Program,1012699,PK17VB08,Dallas Zoo (Match),3500000,3217469.33,04,Dallas Zoo,Under Construction,-96.816219145252,32.7363098491676
Active Bond Program,1012702,PK17VB11,Bachman Lake Skatepark,4000000,4347565.83,06,Major Park Facilities,Under Construction,-96.8661746865703,32.8538837306003
Active Bond Program,1012706,PK17VB15,Crawford Memorial Park - Phase 1,7700000,217585,05,Hike and Bike Trails,Under Design,-96.669617313063,32.7132593621763
Active Bond Program,1012744,PK17VB52,Glendale Park- Parking Spaces & Lighting,400000,469486.49,03,Community Parks,Under Construction,-96.7972179472227,32.6827531442209
Active Bond Program,1012747,PK17VB56,Eloise Lundy - Playground expansion,150000,0,04,,Under Construction,-96.8064241757661,32.7562846290384
Active Bond Program,1012769,PK17VB78,"Frances Rizo Park - Playground replacement, ADA drinking fou",250000,13925,06,Neighborhood Park Facilities,Under Design,-96.9063669928102,32.771043221637
Active Bond Program,1012770,PK17VB79,Stafford Park - Playground and park furnishings,220000,14500,06,Playground Improvement,Under Design,-96.8395621861832,32.7707563401116
Active Bond Program,1012771,PK17VB80,Hattie R. Moore Park - Master Plan and Phase 1 Implementatio,350000,36166.8,06,,Under Design,-96.8387924832269,32.7802974295357
Active Bond Program,1012836,PK17VK46,Anderson Bonner - Playground - New,220000,167988.86,11,,Under Construction,-96.7778866712332,32.9178441731704
Active Bond Program,1012885,PK17VC05,Food and Fiber Building,1500000,340663.57,99,Fair Park,Under Design,-96.7596979802213,32.7816132587163
Active Bond Program,1012889,PK17VC09,Pan American Complex,3480000,0,99,Fair Park,Under Design,-96.7582323523219,32.7810424499531
Active Bond Program,1012891,PK17VC10,Science Place 1 (Phase 1),5110000,1756288,99,Fair Park,Under Design,-96.7623386374671,32.7771419281585
Active Bond Program,1012892,PK17VC12,Magnolia Lounge,900000,506221.57,07,Fair Park,Under Design,-96.7637761822441,32.77935290704
Active Bond Program,1013017,TW17VD11,"El Cerrito Storm Drainage, 2470",200000,416987.4,07,Storm Drainage,Under Construction,-96.7059813787771,32.8002555855054
Active Bond Program,1013040,TW17VD79,"Tree Shadow Trail, 5910",914000,0,12,Storm Drainage,Awarded for Construction,-96.8070162242234,33.0041365671255
Active Bond Program,1013062,TW17VD81,Meandering Way 16209,74000,144955.34,12,Storm Drainage,Awarded for Construction,-96.7784935355449,32.9734732637467
Active Bond Program,1013071,TW17VD38,Gifford-Roanoke Area Relief System - Phase II/Brookhollow Br,1640000,62359.86,02,Storm Drainage,Under Design,-96.860400483466,32.8345529929422
Active Bond Program,1013077,TW17VD60,Kings Branch Culvert @ Denley,480000,70419.46,04,Storm Drainage,Awarded for Construction,-96.8055033374759,32.7329872681459
Active Bond Program,1013078,TW17VD61,Kings Branch @ Genoa,260000,904281.81,04,Storm Drainage,Awarded for Construction,-96.8073652479512,32.7314029370102
Active Bond Program,1013083,TW17VD40,"Munger, 1300, 1301",80000,77358.18,"02,14",Storm Drainage,Under Construction,-96.7694117829633,32.8060100660825
Active Bond Program,1013084,TW17VD49,Teakwood Elmridge Drainage Relief,650000,876186.25,11,Storm Drainage,Under Construction,-96.7845227989672,32.9349275524515
Active Bond Program,1013087,TW17VD52,"Royal Lane, 3162 (RL Area 7)",220000,27700.46,13,Storm Drainage,Awarded for Construction,-96.8723962184121,32.8947053861831
Active Bond Program,1013089,TW17VD42,"Alderson, 3700",1188000,190000,14,Storm Drainage,Under Design,-96.7550396372943,32.831519622543
Active Bond Program,1013090,TW17VD66,Prairie Oak Drive 9321 (RL Area 33),425000,961515.81,05,Storm Drainage,Awarded for Construction,-96.6604656366522,32.7157999511861
Active Bond Program,1013091,TW17VD57,Kings Branch Culvert @ Woodin,212000,32606.93,04,Storm Drainage,Awarded for Construction,-96.8088403553988,32.7227366244732
Active Bond Program,1013093,TW17VD58,Kings Branch Culvert @ Stella,190000,863271.7,04,Storm Drainage,Under Construction,-96.8091063906211,32.7277420802196
Active Bond Program,1013096,TW17VD68,"Highland Road, 2447",195000,476232.38,05,Erosion Control,Awarded for Construction,-96.7097682228509,32.7990366439928
Active Bond Program,1013097,TW17VD59,Kings Branch Culvert @ Louisiana,370000,38702.44,04,Storm Drainage,Awarded for Construction,-96.8090210288174,32.7239227255458
