GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113013104,91.0,8.0,0.08791208791208792,7.0,0.0,,52.0,2.0,0.038461538461538464,
48113013106,44.0,4.0,0.09090909090909091,1.0,0.0,,29.0,2.0,0.06896551724137931,
48113013107,38.0,2.0,0.05263157894736842,4.0,0.0,,24.0,2.0,0.08333333333333333,
48113013201,64.0,5.0,0.078125,0.0,0.0,,41.0,4.0,0.0975609756097561,
48113013202,47.0,5.0,0.10638297872340426,1.0,1.0,,32.0,3.0,0.09375,
48113013300,61.0,3.0,0.04918032786885246,2.0,0.0,,32.0,3.0,0.09375,
48113013400,62.0,6.0,0.0967741935483871,0.0,0.0,,39.0,6.0,0.15384615384615385,
48113013500,72.0,7.0,0.09722222222222222,4.0,0.0,,46.0,4.0,0.08695652173913043,
48113013605,171.0,9.0,0.05263157894736842,3.0,0.0,,133.0,7.0,0.05263157894736842,
48113013606,125.0,10.0,0.08,1.0,0.0,,86.0,5.0,0.05813953488372093,
48113013607,80.0,6.0,0.075,0.0,0.0,,65.0,5.0,0.07692307692307693,
48113013608,92.0,14.0,0.15217391304347827,5.0,1.0,,56.0,6.0,0.10714285714285714,
48113013609,50.0,8.0,0.16,2.0,1.0,,31.0,3.0,0.0967741935483871,
48113013610,102.0,9.0,0.08823529411764706,3.0,1.0,,67.0,5.0,0.07462686567164178,
48113013611,61.0,6.0,0.09836065573770492,3.0,0.0,,45.0,2.0,0.044444444444444446,
48113013615,53.0,9.0,0.16981132075471697,2.0,0.0,,30.0,3.0,0.1,
48113013617,72.0,11.0,0.1527777777777778,2.0,0.0,,55.0,10.0,0.18181818181818182,
48113013618,58.0,2.0,0.034482758620689655,2.0,0.0,,41.0,0.0,0.0,
48113013619,149.0,7.0,0.04697986577181208,2.0,0.0,,109.0,6.0,0.05504587155963303,
48113013620,83.0,12.0,0.14457831325301204,5.0,0.0,,49.0,4.0,0.08163265306122448,
48113013621,58.0,2.0,0.034482758620689655,2.0,0.0,,39.0,2.0,0.05128205128205128,
48113013622,49.0,5.0,0.10204081632653061,4.0,0.0,,29.0,3.0,0.10344827586206896,
48113013624,49.0,12.0,0.24489795918367346,2.0,0.0,,25.0,5.0,0.2,
48113013626,19.0,3.0,0.15789473684210525,3.0,0.0,,11.0,3.0,0.2727272727272727,
48113013627,7.0,1.0,0.14285714285714285,1.0,0.0,,5.0,1.0,,
48113013628,43.0,6.0,0.13953488372093023,1.0,0.0,,30.0,5.0,0.16666666666666666,
48113013629,48.0,6.0,0.125,6.0,2.0,,35.0,2.0,0.05714285714285714,
48113013630,27.0,6.0,0.2222222222222222,3.0,0.0,,14.0,5.0,0.35714285714285715,
48113013715,19.0,1.0,0.05263157894736842,0.0,0.0,,15.0,1.0,0.06666666666666667,
48113013716,76.0,10.0,0.13157894736842105,1.0,1.0,,34.0,1.0,0.029411764705882353,
48113013717,29.0,2.0,0.06896551724137931,1.0,0.0,,17.0,0.0,0.0,
48113013718,20.0,3.0,0.15,0.0,0.0,,15.0,2.0,0.13333333333333333,
48113013719,141.0,35.0,0.24822695035460993,2.0,0.0,,31.0,5.0,0.16129032258064516,
48113013720,80.0,5.0,0.0625,5.0,1.0,,47.0,3.0,0.06382978723404255,
48113013721,183.0,14.0,0.07650273224043716,11.0,2.0,0.18181818181818182,99.0,6.0,0.06060606060606061,3.0
48113013722,45.0,4.0,0.08888888888888889,1.0,1.0,,31.0,2.0,0.06451612903225806,
48113013725,19.0,0.0,0.0,0.0,0.0,,15.0,0.0,0.0,
48113013726,59.0,5.0,0.0847457627118644,2.0,0.0,,39.0,4.0,0.10256410256410256,
48113013727,98.0,7.0,0.07142857142857142,5.0,1.0,,54.0,4.0,0.07407407407407407,
48113013728,38.0,3.0,0.07894736842105263,0.0,0.0,,31.0,3.0,0.0967741935483871,
48113013729,44.0,4.0,0.09090909090909091,0.0,0.0,,33.0,3.0,0.09090909090909091,
48113013804,79.0,4.0,0.05063291139240506,3.0,0.0,,61.0,2.0,0.03278688524590164,
