GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113014141,2381,86996,23.9,11.7,35.599999999999994,0,60901473.16,680254965.49,0.04167893433639331,0.4655437802658107
48113014314,2743,96475,12.4,17.2,29.6,0,104035159.07000001,746103464.27,0.07119818846028655,0.510608293723332
48113014318,2157,105755,0.5,39.8,40.3,0,104035159.07000001,754181716.8,0.07119818846028655,0.516136779969734
48113014155,5988,105653,9.1,2.9,12.0,0,60901473.16,671714206.6699998,0.04167893433639331,0.45969877016061084
48113014158,2948,63867,46.4,24.0,70.4,0,104035159.07000001,763163433.8299999,0.07119818846028655,0.5222835671474094
48113014409,3021,39464,24.0,61.6,85.6,0,104103392.38000001,630756086.6499999,0.07124488505889877,0.43166840067560946
48113014410,2841,51000,23.5,35.1,58.6,0,104090216.11,665898043.63,0.07123586765975169,0.45571838241535795
48113014316,4800,75924,0.0,54.7,54.7,0,103919722.24,764404002.0699999,0.07111918734901734,0.5231325706202635
48113015406,3395,70048,19.5,29.7,49.2,0,49149282.67999999,565913234.4699999,0.03363612765357535,0.38729211816608017
48113014140,2649,59688,36.3,13.1,49.4,0,104968173.34,752757041.4999999,0.0718367122672901,0.5151617797735418
48113014154,3673,92697,26.7,32.9,59.6,0,104056373.83999999,752757041.4999999,0.07121270714037609,0.5151617797735418
48113014147,2405,57075,59.5,20.0,79.5,0,104056373.83999999,715182027.9699999,0.07121270714037609,0.4894466953864771
48113014153,4581,66346,17.8,61.6,79.4,0,103919722.24,760835313.5500001,0.07111918734901734,0.52069027937878
48113015101,4193,64800,3.8,72.5,76.3,0,74417291.36,691192519.42,0.050928708931836444,0.47302907689979495
48113015208,3839,51525,1.7,79.6,81.3,0,40669677.61,691192519.42,0.027832969132556125,0.47302907689979495
48113015002,2536,83155,0.8,58.0,58.8,0,74417291.36,703916805.63,0.050928708931836444,0.4817371534356576
48113014144,5784,95542,15.7,16.0,31.7,0,160458141.79,776435999.28,0.10981219350532205,0.5313668676845361
48113014313,3125,129470,22.7,16.9,39.6,0,157129796.12999997,758348933.3000001,0.10753438489061891,0.518988683772007
48113014320,2779,96750,15.7,15.3,31.0,0,102911796.97000001,749824188.9200001,0.07042939695537688,0.5131546334147175
48113016634,4901,73287,14.8,80.4,95.2,1,505103.93,530008086.11,0.00034567626100301385,0.36271983373375893
48113007203,3347,43527,8.8,81.0,89.8,0,136292158.46,741193619.7899998,0.09327380157284282,0.507248160132701
48113019215,2699,121676,0.0,30.1,30.1,0,153133487.11,708265467.24,0.1047994444599511,0.48471323221158824
48113019214,5424,51026,10.7,61.2,71.9,0,154477375.45999998,708265467.24,0.10571915676556214,0.48471323221158824
48113013729,7018,76974,3.1,66.3,69.39999999999999,0,152554237.84,740287176.6099999,0.10440302560444481,0.5066278206923128
48113002001,2469,58884,26.2,42.3,68.5,1,288854630.99999994,855271724.67,0.19768246273095766,0.5853194053063985
48113010002,4960,-666666666,37.9,32.2,70.1,1,291392818.28000003,855404745.6300001,0.19941951333889063,0.5854104404089919
48113000705,2357,124250,3.0,9.8,12.8,0,263226780.87999997,826503565.35,0.18014361798859496,0.5656314378228025
48113016636,2543,76822,38.1,25.1,63.2,1,905867.61,520956141.3399999,0.0006199455395022097,0.3565249850361861
48113016528,4847,74523,63.1,28.8,91.9,1,3719561.5599999996,623261740.4699999,0.0025455437114324914,0.42653952043473586
48113016526,4806,51305,62.7,25.9,88.6,1,892411.9199999999,558477491.58,0.0006107369146387769,0.3822033440597395
48113016419,4963,88542,29.8,47.2,77.0,1,5531860.500000001,439812747.43999994,0.003785820581578653,0.30099315615406524
48113016204,5182,67212,3.0,82.1,85.1,1,5565702.770000001,474126684.66,0.0038089811009542488,0.324476468823008
48113016536,2647,56387,10.3,76.7,87.0,1,2231591.67,628897696.58,0.0015272268116604667,0.4303965805753725
