NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 192.14; Dallas County; Texas,51026,195300,1382,429,953,5424,1174,579,3318,48,113,019214
Census Tract 192.15; Dallas County; Texas,121676,373800,925,765,160,2699,1597,0,813,48,113,019215
Census Tract 192.16; Dallas County; Texas,79524,324100,1448,786,662,3672,2292,146,509,48,113,019216
Census Tract 193.01; Dallas County; Texas,250001,1999100,990,951,39,3373,2978,0,223,48,113,019301
Census Tract 193.02; Dallas County; Texas,214821,1383400,901,683,218,5906,4186,249,829,48,113,019302
Census Tract 194; Dallas County; Texas,190159,1195800,1448,1019,429,4360,3082,0,554,48,113,019400
Census Tract 195.01; Dallas County; Texas,250001,1969700,2319,2223,96,7425,6886,0,136,48,113,019501
Census Tract 195.02; Dallas County; Texas,250001,1628400,1516,1221,295,4040,3243,28,240,48,113,019502
Census Tract 196; Dallas County; Texas,250001,1885400,882,723,159,2254,2034,0,88,48,113,019600
Census Tract 197; Dallas County; Texas,250001,2000001,644,624,20,1673,1402,0,160,48,113,019700
Census Tract 198; Dallas County; Texas,243893,1593500,1723,1498,225,4847,4378,75,124,48,113,019800
Census Tract 199; Dallas County; Texas,53788,174400,1156,763,393,3736,474,152,3110,48,113,019900
Census Tract 200; Dallas County; Texas,205764,623900,1851,1414,437,5815,1916,178,724,48,113,020000
Census Tract 201; Dallas County; Texas,68030,170700,824,459,365,2416,482,178,1645,48,113,020100
Census Tract 202; Dallas County; Texas,36587,111900,1471,1114,357,4262,50,2668,1536,48,113,020200
Census Tract 203; Dallas County; Texas,47372,270800,1170,174,996,2288,245,1738,270,48,113,020300
Census Tract 204.01; Dallas County; Texas,70932,-666666666,1490,103,1387,2675,1111,714,534,48,113,020401
Census Tract 204.02; Dallas County; Texas,93842,407900,3472,413,3059,6338,2689,2118,1062,48,113,020402
Census Tract 205; Dallas County; Texas,32907,265100,2066,626,1440,6363,278,2666,2571,48,113,020500
Census Tract 206; Dallas County; Texas,250001,2000001,804,771,33,2023,1639,0,153,48,113,020600
Census Tract 207; Dallas County; Texas,90999,373800,2395,1618,777,5574,2512,318,1880,48,113,020700
Census Tract 208; Dallas County; Texas,35577,119100,2510,1197,1313,7507,154,3794,3013,48,113,020800
Census Tract 209; Dallas County; Texas,32447,-666666666,1220,193,1027,2404,146,1396,629,48,113,020900
Census Tract 210; Dallas County; Texas,45344,98000,1894,1308,586,5530,167,2353,2950,48,113,021000
Census Tract 211; Dallas County; Texas,26522,116100,1763,877,886,4704,70,2520,2077,48,113,021100
Census Tract 212; Dallas County; Texas,61017,196200,1479,994,485,4830,497,192,4045,48,113,021200
Census Tract 9800; Dallas County; Texas,-666666666,-666666666,0,0,0,0,0,0,0,48,113,980000
Census Tract 9801; Dallas County; Texas,-666666666,-666666666,0,0,0,0,0,0,0,48,113,980100
Census Tract 9802; Dallas County; Texas,6311,-666666666,438,0,438,1400,555,44,164,48,113,980200
